,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
0,80.813761926,,0.867569581227,0.413841949595,66.15625,0.784639860384,,492413664,10.0,571.166055956,668.906468365,dendrite-only,16,42,2446,10,26,70.8467,682.624288998,244.257428059,0.1144,0.1144,0.28,210.391018941,478586295,2759.19905626,3589.99622343,420.022012302
1,67.3562815523,,0.824509475896,0.633239911013,117.166666667,0.919826665604,,601947643,10.0,701.99152404,887.354458722,full,21,47,5220,5,26,146.72,1010.00911003,582.678686976,0.1144,0.1144,0.28,583.187559809,542137330,6358.61831636,12858.6036525,2356.09207008
2,73.2752756863,,0.855331758607,0.727657524725,88.4431818182,0.99186886346,,606834771,10.0,524.667463619,597.772853679,full,44,94,7888,6,50,161.28,682.474866832,504.325303543,0.1144,0.1144,0.28,729.480151942,571624532,9306.13742879,21322.5458515,4499.40552081
3,68.3108088689,,0.865620032659,0.440604859387,43.3026315789,0.852728736384,,510985337,8.0,415.267690777,456.250347059,dendrite-only,38,85,3435,9,47,56.2136,468.37627493,364.174878235,0.1144,0.1144,0.28,298.43741388,490205998,3966.15397089,5477.61163168,688.346936935
4,71.8978327992,,0.865789518404,0.638145399913,46.7948717949,0.848166751158,,492413246,6.0,408.488314226,423.379221605,dendrite-only,20,44,1854,4,24,96.4748,457.586140801,242.191760825,0.1144,0.1144,0.28,332.753084825,469793303,2204.33031204,4393.34343667,785.358490693
5,70.5830511675,,0.909319435215,0.216744323142,47.8571428571,0.864326942233,,491253825,5.0,267.870969852,271.405724589,dendrite-only,14,35,1573,7,21,60.5338,344.567597772,239.147640768,0.1144,0.1144,0.28,112.186996874,318733871,1793.1417604,1224.88371527,75.2115752341
6,76.2355969281,,0.896847908861,0.296900223857,39.125,0.914960749539,,491771423,5.0,405.20573667,410.501655811,dendrite-only,36,81,2988,9,45,59.8746,518.203245111,271.441716433,0.1144,0.1144,0.28,341.501045629,479010903,3450.780253,3219.53362649,255.483324353
7,67.7991897121,,0.911508848203,0.522215910953,38.4714285714,0.899777450851,,500961566,8.0,436.18238643,463.948704756,dendrite-only,35,78,2909,8,43,86.8451,564.383336673,207.215958529,0.1144,0.1144,0.28,321.041014878,486146717,3484.94429031,5736.12607853,912.065811274
8,74.979376166,,0.893100828014,0.588264855224,92.7011494253,0.97995493932,,562232587,10.0,575.554244818,623.214668894,full,44,96,8178,8,52,102.9476,779.198828332,414.866567717,0.1144,0.1144,0.28,569.625254129,537266147,9400.4999478,17380.642194,2829.72667475
9,74.4192483402,,0.902208848036,0.451402679852,58.5306122449,0.94062421971,,605871360,13.0,462.709209068,577.640215671,full,25,55,3201,5,30,103.04,628.666557084,423.193865897,0.1144,0.1144,0.28,520.29772556,571429412,4007.95604859,5728.96958416,699.917668667
10,73.8722337323,,0.874672924312,0.546976054792,76.1513157895,0.956689341426,,569858706,14.0,475.161802815,550.903175416,full,77,165,11719,11,88,142.3293,676.653102637,463.585506482,0.1144,0.1144,0.28,858.38196787,548440226,13625.3997897,23749.6281152,3614.14758963
